Original Order,Name,Title,Company,Youtube URL,Company Website,Source,Domain Notes,Confidence,LinkedIn Search URL,Employment Verified,Verification Source,Verified At
45,Danielle Goode Coady,VP of Marketing,Index Engines,https://www.youtube.com/watch?v=yOyt1xUZuSI,https://indexengines.com/,https://indexengines.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Danielle%20Goode%20Coady%20Index%20Engines,no,,
47,Jim McGann,Chief Marketing Officer,Index Engines,https://www.youtube.com/watch?v=pVI99Hl1-9k,https://indexengines.com/,https://indexengines.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Jim%20McGann%20Index%20Engines,no,,
49,Tim Freestone,Chief Marketing Officer,Kiteworks,https://www.youtube.com/watch?v=9HQ3F7uU_Wc,https://www.kiteworks.com/,https://www.kiteworks.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Tim%20Freestone%20Kiteworks,no,,
50,Adam Berlew,Chief Marketing Officer,Equinix,https://www.youtube.com/watch?v=ddoYgwVqZzs,https://www.equinix.com/,https://www.equinix.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Adam%20Berlew%20Equinix,no,,
51,Josh Harbert,SVP & CMO,Couchbase,https://www.youtube.com/watch?v=RxK4bplhGYw,https://www.couchbase.com/,https://www.couchbase.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Josh%20Harbert%20Couchbase,no,,
52,Matt McDonough,SVP of Product,Couchbase,https://www.youtube.com/watch?v=RxK4bplhGYw,https://www.couchbase.com/,https://www.couchbase.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Matt%20McDonough%20Couchbase,no,,
53,Steven Van Zanen,Chief Marketing Officer,BroadForward,https://www.youtube.com/watch?v=_lN5T2TEiWY,https://www.broadforward.com/,https://www.broadforward.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Steven%20Van%20Zanen%20BroadForward,no,,
54,Shlomo Kramer,Co-Founder & CEO,Cato Networks,https://www.youtube.com/watch?v=3_Y-QFr_U7k,https://www.catonetworks.com/,https://www.catonetworks.com/,verified_from_mapping,high,https://www.linkedin.com/search/results/all/?keywords=Shlomo%20Kramer%20Cato%20Networks,no,,
55,Sarbjeet Johal,Founder & CEO,Stackpane,https://www.youtube.com/watch?v=zF9IycsTdsA,https://stackpane.com/,https://stackpane.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Sarbjeet%20Johal%20Stackpane,no,,
56,Chandra Rangan,Chief Marketing Officer,Neo4j,https://www.youtube.com/watch?v=mqyji7RuLt8,https://neo4j.com/,https://neo4j.com/,mapped_known_domain,high,https://www.linkedin.com/search/results/all/?keywords=Chandra%20Rangan%20Neo4j,no,,
